time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-21T17:58:37.620Z,35.601,-117.3986667,6.65,1.57,ml,22,112,0.05376,0.19,ci,ci39277024,2020-01-21T18:02:27.494Z,"18km S of Trona, CA",earthquake,0.41,0.69,0.247,25,automatic,ci,ci
2020-01-21T17:01:54.150Z,35.6386667,-117.4333333,5.2,1.61,ml,20,98,0.1266,0.16,ci,ci39277000,2020-01-22T15:33:36.070Z,"15km S of Searles Valley, CA",earthquake,0.32,2.16,0.187,24,reviewed,ci,ci
2020-01-21T15:50:11.360Z,35.667,-117.5028333,5.6,1.86,ml,16,82,0.1672,0.13,ci,ci39276944,2020-01-22T15:33:44.530Z,"14km SW of Searles Valley, CA",earthquake,0.26,1.71,0.144,26,reviewed,ci,ci
2020-01-21T10:48:37.190Z,35.6461667,-117.4623333,7.62,1.6,ml,27,56,0.05262,0.18,ci,ci39276808,2020-01-21T10:59:47.780Z,"14km SSW of Searles Valley, CA",earthquake,0.3,0.87,0.16,25,automatic,ci,ci
2020-01-21T07:43:15.550Z,35.8188333,-117.6531667,6.35,1.9,ml,24,88,0.04534,0.13,ci,ci39276784,2020-01-22T15:34:34.613Z,"22km N of Ridgecrest, CA",earthquake,0.21,0.5,0.189,26,reviewed,ci,ci
2020-01-21T07:10:29.610Z,35.5955,-117.3985,2.94,1.3,ml,16,65,0.07565,0.23,ci,ci39276752,2020-01-21T07:14:11.735Z,"19km S of Trona, CA",earthquake,0.5,0.65,0.158,18,automatic,ci,ci
2020-01-21T04:32:19.360Z,35.5928333,-117.3755,0.65,1.95,ml,27,45,0.06832,0.18,ci,ci39276712,2020-01-21T04:43:33.970Z,"19km S of Trona, CA",earthquake,0.29,0.57,0.182,26,automatic,ci,ci
2020-01-21T03:31:50.260Z,35.6978333,-117.5985,6.9,1.23,ml,20,113,0.07933,0.17,ci,ci39276640,2020-01-21T03:35:34.318Z,"11km NE of Ridgecrest, CA",earthquake,0.32,0.77,0.18,15,automatic,ci,ci
2020-01-21T03:00:10.650Z,35.618,-117.4316667,10.58,2.79,ml,40,51,0.05299,0.12,ci,ci39276616,2020-01-23T19:51:47.527Z,"17km S of Searles Valley, CA",earthquake,0.13,0.25,0.15,111,reviewed,ci,ci
2020-01-21T02:08:19.130Z,35.6183333,-117.4328333,10.47,3.07,ml,66,28,0.05222,0.17,ci,ci39276560,2020-01-22T09:02:50.228Z,"17km S of Searles Valley, CA",earthquake,0.12,0.24,0.156,246,reviewed,ci,ci
